restaurant_id,name,address,phone,business_hour,category,notes,,,,place_id
R001,찹찹프레쉬,서울 성북구 보문로30나길 40 1층,0507-1371-3529,09:10~19:00 ,"다이어트, 샐러드",break time : 16:00~17:00,,,,879158701
R002,따띠삼겹,서울 성북구 보문로34길 95,02-6326-2011,12:00~22:00,한식(삼겹살),break time : 15:00~16:00,,,,572041769
R003,와우 바게트,서울 성북구 보문로34길 77 1층,0507-1369-6995,09:00~22:30,샌드위치,last order : 22:25,,,,354379470
R004,투고샐러드,서울 성북구 보문로34나길 3,0507-1421-2218,10:30~21:00,"다이어트, 샐러드",last order : 20:30,,,,21136493
R005,라이라이라이,서울 성북구 보문로34길 76,02-921-1911,10:00~17:00,샌드위치,매주 일요일 정기휴무,,,,1597826671
R006,우리할매떡볶이,서울 성북구 보문로30길 82,02-922-1107,10:00~23:00 (주말 : 10:00~22:00),분식,last order : 22:50 (주말 last order : 21:50),,,,1516547585
R007,꿈떡꿈떡,서울 성북구 동소문로22길 29-5 1층,0507-1418-3922,12:00~24:00,종합분식,last order : 23:30 (매주 일요일 정기휴무),,,,1725659634
R008,미스터육회연어왕,서울 성북구 동소무로22길 47 지하1층,0507-1363-1527,10:30~23:00,일식당,매주 수요일 정기휴무,,,,634023824
R009,제제집,서울 성북구 동소문로20다길 30-9,02-927-2007,11:00~21:30,"백반, 가정식","break time : 14:30~16:30, last order : 20:50",,,,27228476
R010,신전떡볶이,서울 성북구 동소문로20다길 24 1층,0507-1353-2007,10:50~23:00 (일요일 : 10:50~21:25),분식,,,,,994067806
R011,정직유부,서울 성북구 동소문로20길 28-4,0507-0289-9323,11:00~20:00,분식,,,,,1344854328
R012,은행골,서울 성북구 동소문로18길 17-11 1층,02-953-4988,11:00~22:00,일식당,매주 목요일 정기휴무,,,,1872204256
R013,샹니마라탕,서울 성북구 동소문로20길 31 2층,0507-1438-8035,10:30~22:00,마라탕,last order : 21:55 (매주 일요일 정기휴무),,,,301661534
R014,니뽕내뽕,서울 성북구 동소문로20길 37-19 2층,0507-1371-2133,11:30~21:30,중식당,,,,,22578086
R015,본죽,서울 성북구 보문로34길 51,02-953-3500,10:00~22:00,죽,매주 일요일 정기휴무,,,,1717720309
R016,알촌,서울 성북구 보문로34길 68-2 알촌성신여대점,02-412-9780,09:30~21:00,"퓨전음식, 알밥",매주 일요일 정기휴무,,,,1806871014
R017,소테,서울 성북구 보문로30길 77,02-922-3738,11:00~21:00,이탈리아음식,매주 일요일 정기휴무,,,,14608735
R018,샹츠마라탕,서울 성북구 보문로34길 77 2층 202호,0507-1488-7117,11:00~23:00,마라탕,last order : 21:30,,,,782225446
R019,쎄오쎄오,서울 성북구 보문로34길 56 지하 1층,02-929-1225,11:30~21:30,베트남음식,"break time : 16:00~17:00, last order : 21:00 (매주 월요일 정기휴무)",,,,2014315898
R020,포앤시드니,서울 성북구 보문로34길 77 동양빌딩 201호,0507-1388-9390,10:30~21:30,베트남음식,last order : 21:00,,,,12768652
