menu_id,restaurant_id,menu_name,category,price,width,length,height,popularity_score,notes
M001,R001,파스타샐러드,기타,9900,20,20,10,10,
M002,R001,통밀 수제 에그마요,기타,6800,15,15,10,10,
M003,R001,치아바타 리코타바질,기타,8900,13,25,10,10,
M004,R001,리코타치즈 샐러드,기타,9900,20,20,10,10,
M005,R001,통밀 햄치즈에그,기타,7500,15,15,10,5,
M006,R002,간딴삼겹 도시락,한식,10500,20,10,10,10,
M007,R002,간딴삼겹 도시락,한식,14000,20,10,10,7,
M008,R002,양념삼겹 고기만,한식,15000,20,10,10,7,
M009,R003,트러플 루꼴라 잠봉뵈르,기타,8700,20,12,7,10,
M010,R003,치킨 반미,기타,8000,20,12,7,10,
M011,R003,와우바게트,기타,8000,20,12,7,10,
M012,R003,달콤 메이플 잠봉뵈르,기타,8500,20,12,7,10,
M013,R003,잠봉뵈르,기타,8000,20,12,7,10,
M014,R003,핫 치킨반미매운맛1단계,기타,8500,20,12,7,10,
M015,R004,목살스테이크샐러드,기타,9900,20,20,10,5,간장소스에 재워 그릴에 구운 돼지목살
M016,R004,닭다리살스테이크샐러드,기타,9500,20,20,10,5,마늘간장소스에 재워 부드러운 닭다리살
M017,R005,스파이시포크 반미(돼지고기),기타,6500,25,10,10,7,
M018,R005,그릴드치킨 반미(닭고기),기타,6500,25,10,10,7,
M019,R005,베지테리언 반미(두부,오크라),기타,5500,25,10,10,7,
M020,R005,콜드컷반미(햄),기타,6000,25,10,10,5,
M021,R006,밀 떡볶이,한식,4500,20,10,7,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M022,R006,가래떡 떡볶이,한식,4500,20,10,7,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M023,R006,순대,한식,5000,20,10,5,7,
M024,R007,꿈떡 기본떡볶이,한식,7000,15,15,10,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
